month_id;week_id;region;sector;uga746;pharmacy_cip;pharmacy_name;pharmacy_address;pharmacy_zip;pharmacy_city;market;manufacturer;brand;pcmdty_nm;prod_cd;unit_qty;ret_amt
202505;202519;France;;69OUL;111135;Pharmacy 25;Address 25;1;City 25;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;14,1
202506;202525;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;2;49,8
202506;202523;France;;91ETA;111113;Pharmacy 3;Address 3;1;City 3;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF CASSIS 30;3534510000887;1;16,9
202506;202524;France;;91ETA;111113;Pharmacy 3;Address 3;1;City 3;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;17,9
202506;202524;France;;84CAV;111125;Pharmacy 15;Address 15;1;City 15;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;14,9
202506;202525;France;;70ARC;111120;Pharmacy 10;Address 10;1;City 10;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;19,9
202505;202520;France;;08RET;111111;Pharmacy 1;Address 1;1;City 1;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;16,9
202505;202521;France;;67SCH;111116;Pharmacy 6;Address 6;1;City 6;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;17,2
202505;202520;France;;83LSE;111123;Pharmacy 13;Address 13;1;City 13;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;3;47,7
202505;202519;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;14,95
202505;202519;France;;44PON;111133;Pharmacy 23;Address 23;1;City 23;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;14,95
202505;202521;France;;70ARC;111120;Pharmacy 10;Address 10;1;City 10;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;16,6
202505;202518;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;1;23,9
202505;202520;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;4;59,96
202505;202522;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;3;46,17
202505;202519;France;;31MUR;111131;Pharmacy 21;Address 21;1;City 21;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;11,49
202506;202523;France;;13SAL;111130;Pharmacy 20;Address 20;1;City 20;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;3;44,85
202505;202520;France;;67SCH;111116;Pharmacy 6;Address 6;1;City 6;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA IMMUNITE FLASH CPR EFF 30;3534510001129;2;31,8
202506;202523;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;4;63,2
202506;202524;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;1;18,43
202505;202521;France;;84CAV;111125;Pharmacy 15;Address 15;1;City 15;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE GOMMES CERISE 60;3534510001532;1;14,9
202505;202523;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT-2E 20;3534510000429;1;13,99
202505;202520;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 60;3400930009031;1;23,9
202505;202521;France;;84CAV;111125;Pharmacy 15;Address 15;1;City 15;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;14,9
202505;202521;France;;02SOI;111115;Pharmacy 5;Address 5;1;City 5;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;2;30,4
202505;202519;France;;91ETA;111113;Pharmacy 3;Address 3;1;City 3;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;15,9
202505;202522;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF CASSIS 30;3534510000887;1;14,9
202505;202518;France;;67SEL;111132;Pharmacy 22;Address 22;1;City 22;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;15,95
202505;202521;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;2;30,78
202506;202525;France;;91ETA;111113;Pharmacy 3;Address 3;1;City 3;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;17,9
202506;202524;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST STICK COLA 14 1.71G;3401529463593;1;15,5
202506;202523;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA IMMUNITE FLASH CPR EFF 30;3534510001129;1;13,96
202506;202523;France;;83LSE;111123;Pharmacy 13;Address 13;1;City 13;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA IMMUNITE FLASH CPR EFF 30;3534510001129;1;14,6
202506;202524;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;2;29,98
202505;202521;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF CASSIS 30;3534510000887;1;11,96
202505;202519;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT-2E 20;3534510000429;2;27,98
202506;202524;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;1;23,59
202506;202524;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;15,39
202505;202522;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA IMMUNITE FLASH CPR EFF 30;3534510001129;1;13,96
202506;202523;France;;69OUL;111135;Pharmacy 25;Address 25;1;City 25;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;1;26,95
202506;202524;France;;68THA;111124;Pharmacy 14;Address 14;1;City 14;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;13,9
202506;202524;France;;68THA;111124;Pharmacy 14;Address 14;1;City 14;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;13,99
202506;202523;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;2;31
202506;202525;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 60;3400930009031;1;24,9
202506;202523;France;;87LIM;111138;Pharmacy 28;Address 28;1;City 28;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;14,5
202506;202525;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA IMMUNITE FLASH CPR EFF 30;3534510001129;2;27,92
202505;202518;France;;84CAV;111125;Pharmacy 15;Address 15;1;City 15;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;13,9
202505;202521;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;1;23,59
202505;202522;France;;91ETA;111113;Pharmacy 3;Address 3;1;City 3;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;15,9
202505;202519;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF CASSIS 30;3534510000887;3;44,94
202505;202521;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;11,79
202505;202521;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;2;47,8
202505;202521;France;;31MUR;111131;Pharmacy 21;Address 21;1;City 21;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;3;63,35
202505;202522;France;;68THA;111124;Pharmacy 14;Address 14;1;City 14;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;2;27,8
202505;202519;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;4;59,6
202505;202523;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF CASSIS 30;3534510000887;1;15,5
202506;202524;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE GOMMES CERISE 60;3534510001532;1;14,98
202506;202524;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;2;31,96
202506;202525;France;;91VIR;111112;Pharmacy 2;Address 2;1;City 2;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;15,99
202506;202524;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;15,5
202506;202525;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;14,5
202506;202525;France;;44PON;111133;Pharmacy 23;Address 23;1;City 23;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;16,5
202506;202523;France;;70ARC;111120;Pharmacy 10;Address 10;1;City 10;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;16,99
202506;202523;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA MAGNESIUM SACH PDR 14;3534510001822;1;14,9
202506;202525;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;2;30,78
202506;202525;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;11,99
202505;202521;France;;76FEC;111114;Pharmacy 4;Address 4;1;City 4;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;16,5
202506;202525;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT-2E 20;3534510000429;2;27,98
202506;202525;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF CASSIS 30;3534510000887;1;15,5
202506;202525;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;15,9
202505;202519;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;3;46,17
202505;202521;France;;31MUR;111131;Pharmacy 21;Address 21;1;City 21;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;11,01
202505;202521;France;;92ASN;111128;Pharmacy 18;Address 18;1;City 18;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;17,9
202505;202521;France;;22SBR;111121;Pharmacy 11;Address 11;1;City 11;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;2;33,8
202505;202521;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;2;21,58
202505;202522;France;;91ETA;111113;Pharmacy 3;Address 3;1;City 3;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;16,9
202506;202525;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;2;28,98
202505;202519;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE GOMMES CERISE 60;3534510001532;1;14,95
202505;202520;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;4;61,56
202505;202523;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;11,99
202505;202519;France;;69OUL;111135;Pharmacy 25;Address 25;1;City 25;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;15,9
202505;202520;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF CASSIS 30;3534510000887;1;14,9
202505;202519;France;;31MUR;111131;Pharmacy 21;Address 21;1;City 21;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;12,99
202505;202522;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;2;29
202505;202518;France;;76FEC;111114;Pharmacy 4;Address 4;1;City 4;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;16,5
202505;202520;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;2;29,9
202505;202522;France;;31MUR;111131;Pharmacy 21;Address 21;1;City 21;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA IMMUNITE GOMMES ORANG 60;3534510001556;1;14,99
202506;202525;France;;13SAL;111130;Pharmacy 20;Address 20;1;City 20;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;14,95
202506;202525;France;;38LPO;111126;Pharmacy 16;Address 16;1;City 16;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;2;33,8
202506;202524;France;;69OUL;111135;Pharmacy 25;Address 25;1;City 25;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;14,1
202505;202521;France;;38LPO;111126;Pharmacy 16;Address 16;1;City 16;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;2;33,8
202505;202520;France;;02SOI;111115;Pharmacy 5;Address 5;1;City 5;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;15,2
202506;202523;France;;83LSE;111123;Pharmacy 13;Address 13;1;City 13;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST STICK COLA 14 1.71G;3401529463593;1;14,9
202506;202525;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;3;49,5
202505;202521;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;3;44,7
202505;202522;France;;67SCH;111116;Pharmacy 6;Address 6;1;City 6;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;16,5
202506;202525;France;;69OUL;111135;Pharmacy 25;Address 25;1;City 25;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;1;16,95
202506;202524;France;;67SEL;111132;Pharmacy 22;Address 22;1;City 22;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;1;15,9
202505;202522;France;;29QUI;111119;Pharmacy 9;Address 9;1;City 9;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;1;23,59
202506;202524;France;;83LSE;111123;Pharmacy 13;Address 13;1;City 13;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA IMMUNITE FLASH CPR EFF 30;3534510001129;2;29,2
202506;202525;France;;02SOI;111115;Pharmacy 5;Address 5;1;City 5;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;15,2
202506;202524;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE GOMMES CERISE 60;3534510001532;1;14,95
202505;202519;France;;38LPO;111126;Pharmacy 16;Address 16;1;City 16;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR PELLIC 30;3400935277947;2;33,8
202506;202524;France;;02SOI;111115;Pharmacy 5;Address 5;1;City 5;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;1;25,85
202506;202523;France;;22LAM;111129;Pharmacy 19;Address 19;1;City 19;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT 20;3401553606027;3;49,5
202505;202520;France;;92COL;111134;Pharmacy 24;Address 24;1;City 24;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA BOOST CPR EFFVT-2E 20;3534510000429;1;12,21
202505;202519;France;;02SOI;111115;Pharmacy 5;Address 5;1;City 5;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;15,2
202505;202521;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 60;3400927935947;3;68,7
202505;202522;France;;06VAL;111127;Pharmacy 17;Address 17;1;City 17;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA IMMUNITE FLASH CPR EFF 30;3534510001129;2;25
202505;202519;France;;83LSE;111123;Pharmacy 13;Address 13;1;City 13;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA IMMUNITE FLASH CPR EFF 30;3534510001129;1;14,6
202505;202522;France;;67ILL;111137;Pharmacy 27;Address 27;1;City 27;TOTAL MARKET;TOTAL BEROCCA;;BEROCCA ENERGIE CPR EFF ORANGE 30;3400935709042;1;15,9
